  0%|          | 0/2374 [00:00<?, ?it/s]/root/miniconda3/envs/digiq/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
  1%|          | 13/2374 [10:34<30:24:18, 46.36s/it]
{'loss': 0.0, 'grad_norm': 5.183452606201172, 'learning_rate': 1e-06, 'completion_length': 62.3125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0078125, 'reward': 0.0078125, 'reward_std': 0.022097086533904076, 'kl': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 1.2697254419326782, 'learning_rate': 1e-06, 'completion_length': 64.6015625, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0078125, 'reward': 0.0078125, 'reward_std': 0.022097086533904076, 'kl': 0.0006771087646484375, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 3.6151633262634277, 'learning_rate': 1e-06, 'completion_length': 59.4921875, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0234375, 'reward': 0.0234375, 'reward_std': 0.051028965041041374, 'kl': 0.0011796951293945312, 'epoch': 0.0}
{'loss': 0.0001, 'grad_norm': 2.9522135257720947, 'learning_rate': 1e-06, 'completion_length': 64.9921875, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0234375, 'reward': 0.0234375, 'reward_std': 0.051028965041041374, 'kl': 0.0017633438110351562, 'epoch': 0.0}
{'loss': 0.0001, 'grad_norm': 9.274765014648438, 'learning_rate': 1e-06, 'completion_length': 52.7734375, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0234375, 'reward': 0.0234375, 'reward_std': 0.06629125960171223, 'kl': 0.002140045166015625, 'epoch': 0.0}
{'loss': 0.0003, 'grad_norm': 8.568587303161621, 'learning_rate': 1e-06, 'completion_length': 54.8125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.0625, 'reward': 0.0625, 'reward_std': 0.1615143995732069, 'kl': 0.007663726806640625, 'epoch': 0.01}
{'loss': 0.0006, 'grad_norm': 59.14865493774414, 'learning_rate': 1e-06, 'completion_length': 54.7265625, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.125, 'reward': 0.125, 'reward_std': 0.23987762443721294, 'kl': 0.01519775390625, 'epoch': 0.01}
{'loss': 0.0005, 'grad_norm': 5.0316972732543945, 'learning_rate': 1e-06, 'completion_length': 54.8984375, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.109375, 'reward': 0.109375, 'reward_std': 0.2330477423965931, 'kl': 0.01285552978515625, 'epoch': 0.01}
{'loss': 0.0009, 'grad_norm': 14.693338394165039, 'learning_rate': 1e-06, 'completion_length': 57.1484375, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.15625, 'reward': 0.15625, 'reward_std': 0.2698654308915138, 'kl': 0.02294921875, 'epoch': 0.01}
{'loss': 0.0029, 'grad_norm': 12.263851165771484, 'learning_rate': 1e-06, 'completion_length': 41.578125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.5078125, 'reward': 0.5078125, 'reward_std': 0.4820966273546219, 'kl': 0.0736083984375, 'epoch': 0.01}
{'loss': 0.0053, 'grad_norm': 4.43858003616333, 'learning_rate': 1e-06, 'completion_length': 29.078125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.875, 'reward': 0.875, 'reward_std': 0.21436559408903122, 'kl': 0.1314697265625, 'epoch': 0.01}
{'loss': 0.0066, 'grad_norm': 3.6936538219451904, 'learning_rate': 1e-06, 'completion_length': 31.3203125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.859375, 'reward': 0.859375, 'reward_std': 0.2817176915705204, 'kl': 0.1650390625, 'epoch': 0.01}
{'loss': 0.0059, 'grad_norm': 8.188586235046387, 'learning_rate': 1e-06, 'completion_length': 35.4453125, 'rewards/accuracy_reward': 0.0, 'rewards/format_reward': 0.84375, 'reward': 0.84375, 'reward_std': 0.27328528091311455, 'kl': 0.147705078125, 'epoch': 0.01}
